S_CUSTNO;COGNITIONSOURCE;I_CASES;I_YEAR
1004074;UHD;0;2022
1004076;UHD;8;2014
1004076;UHD;17;2015
1004076;UHD;33;2016
1004076;UHD;18;2017
1004076;UHD;19;2018
1004076;UHD;21;2019
1004076;UHD;18;2020
1004076;UHD;14;2021
1004076;UHD;1;2022
1004079;UHD;2;2014
1004079;UHD;8;2015
1004079;UHD;17;2016
1004079;UHD;19;2017
1004079;UHD;9;2018
1004079;UHD;13;2019
1004079;UHD;16;2020
1004079;UHD;30;2021
1004079;UHD;3;2022
1004083;UHD;25;2014
1004083;UHD;53;2015
1004083;UHD;72;2016
1004083;UHD;45;2017
1004083;UHD;33;2018
1004083;UHD;19;2019
1004083;UHD;13;2020
1004083;UHD;14;2021
1004083;UHD;9;2022
1004085;UHD;0;2015
1004085;UHD;4;2016
1004086;UHD;6;2014
1004086;UHD;2;2015
1004086;UHD;8;2016
1004086;UHD;1;2017
1004086;UHD;7;2018
1004086;UHD;10;2019
1004086;UHD;16;2020
1004086;UHD;7;2021
1004086;UHD;0;2022
1004088;UHD;69;2014
1004088;UHD;195;2015
1004088;UHD;266;2016
1004088;UHD;242;2017
1004088;UHD;217;2018
1004088;UHD;224;2019
1004088;UHD;240;2020
1004088;UHD;263;2021
1004088;UHD;57;2022
1004090;UHD;10;2014
1004090;UHD;53;2015
1004090;UHD;55;2016
1004090;UHD;58;2017
1004090;UHD;39;2018
1004090;UHD;52;2019
1004090;UHD;60;2020
1004090;UHD;49;2021
1004090;UHD;9;2022
1004092;UHD;17;2014
1004092;UHD;29;2015
1004092;UHD;35;2016
1004092;UHD;18;2017
1004092;UHD;26;2018
1004092;UHD;21;2019
1004092;UHD;28;2020
1004092;UHD;17;2021
1004092;UHD;2;2022
1004094;UHD;39;2014
1004094;UHD;126;2015
1004094;UHD;186;2016
1004094;UHD;96;2017
1004094;UHD;70;2018
1004094;UHD;120;2019
1004094;UHD;126;2020
1004094;UHD;78;2021
1004094;UHD;9;2022
1004100;UHD;12;2014
1004100;UHD;11;2015
1004100;UHD;21;2016
1004100;UHD;19;2017
1004100;UHD;11;2018
1004100;UHD;19;2019
1004100;UHD;25;2020
1004100;UHD;37;2021
1004100;UHD;7;2022
1004103;UHD;10;2014
1004103;UHD;38;2015
1004103;UHD;16;2016
1004103;UHD;8;2017
1004103;UHD;7;2018
1004103;UHD;19;2019
1004103;UHD;10;2020
1004103;UHD;16;2021
1004103;UHD;6;2022
1004104;UHD;4;2014
1004104;UHD;9;2015
1004104;UHD;24;2016
1004104;UHD;36;2017
1004104;UHD;26;2018
1004104;UHD;49;2019
1004104;UHD;42;2020
1004104;UHD;53;2021
1004104;UHD;12;2022
1004105;UHD;61;2014
1004107;UHD;19;2014
1004107;UHD;44;2015
1004107;UHD;60;2016
1004107;UHD;43;2017
1004107;UHD;62;2018
1004107;UHD;70;2019
1004107;UHD;48;2020
1004107;UHD;57;2021
1004107;UHD;17;2022
1004111;UHD;6;2014
1004111;UHD;13;2015
1004111;UHD;9;2016
1004111;UHD;18;2017
1004111;UHD;1;2018
1004111;UHD;6;2019
1004111;UHD;7;2020
1004111;UHD;7;2021
1004111;UHD;3;2022
1004113;UHD;21;2014
1004113;UHD;32;2015
1004113;UHD;79;2016
1004113;UHD;105;2017
1004113;UHD;91;2018
1004113;UHD;96;2019
1004113;UHD;70;2020
1004113;UHD;66;2021
1004113;UHD;10;2022
1004121;UHD;14;2015
1004121;UHD;33;2016
1004121;UHD;34;2017
1004121;UHD;30;2018
1004121;UHD;24;2019
1004121;UHD;35;2020
1004121;UHD;19;2021
1004121;UHD;11;2022
1004127;UHD;8;2015
1004127;UHD;61;2016
1004127;UHD;39;2017
1004127;UHD;31;2018
1004127;UHD;43;2019
1004127;UHD;3;2020
1004128;UHD;19;2014
1004128;UHD;69;2015
1004128;UHD;50;2016
1004128;UHD;46;2017
1004128;UHD;59;2018
1004128;UHD;74;2019
1004128;UHD;95;2020
1004128;UHD;67;2021
1004128;UHD;28;2022
1004130;UHD;51;2014
1004130;UHD;112;2015
1004130;UHD;130;2016
1004130;UHD;127;2017
1004130;UHD;89;2018
1004130;UHD;15;2019
1004130;UHD;14;2020
1004130;UHD;50;2021
1004130;UHD;64;2022
1004135;UHD;48;2014
1004135;UHD;131;2015
1004135;UHD;141;2016
1004135;UHD;126;2017
1004135;UHD;139;2018
1004135;UHD;207;2019
1004135;UHD;266;2020
1004135;UHD;178;2021
1004135;UHD;49;2022
1004140;UHD;0;2014
1004140;UHD;4;2015
1004140;UHD;9;2016
1004140;UHD;8;2017
1004140;UHD;6;2018
1004140;UHD;3;2019
1004140;UHD;6;2020
1004140;UHD;5;2021
1004140;UHD;1;2022
1004141;UHD;20;2014
1004141;UHD;66;2015
1004141;UHD;58;2016
1004141;UHD;31;2017
1004141;UHD;34;2018
1004141;UHD;43;2019
1004141;UHD;17;2020
1004141;UHD;30;2021
1004141;UHD;15;2022
1004142;UHD;8;2014
1004142;UHD;18;2015
1004142;UHD;32;2016
1004142;UHD;10;2017
1004142;UHD;15;2018
1004143;UHD;4;2014
1004143;UHD;10;2015
1004143;UHD;8;2016
1004143;UHD;20;2017
1004143;UHD;8;2018
1004144;UHD;3;2014
1004144;UHD;22;2015
1004144;UHD;21;2016
1004144;UHD;28;2017
1004144;UHD;40;2018
1004144;UHD;73;2019
1004144;UHD;54;2020
1004144;UHD;49;2021
1004144;UHD;19;2022
1004146;UHD;3;2014
1004146;UHD;21;2015
1004146;UHD;39;2016
1004146;UHD;29;2017
1004146;UHD;21;2018
1004146;UHD;41;2019
1004146;UHD;52;2020
1004146;UHD;32;2021
1004146;UHD;9;2022
1004162;UHD;35;2014
1004162;UHD;57;2015
1004166;UHD;18;2014
1004166;UHD;82;2015
1004166;UHD;151;2016
1004166;UHD;116;2017
1004166;UHD;104;2018
1004166;UHD;134;2019
1004166;UHD;114;2020
1004166;UHD;124;2021
1004166;UHD;39;2022
1004167;UHD;10;2017
1004173;UHD;7;2014
1004173;UHD;34;2015
1004173;UHD;67;2016
1004173;UHD;45;2017
1004173;UHD;65;2018
1004173;UHD;47;2019
1004173;UHD;92;2020
1004173;UHD;112;2021
1004173;UHD;28;2022
1004179;UHD;1;2014
1004179;UHD;2;2015
1004179;UHD;0;2016
1004179;UHD;0;2017
1004179;UHD;1;2018
1004179;UHD;0;2019
1004179;UHD;0;2020
1004179;UHD;0;2021
1004179;UHD;0;2022
1004182;UHD;19;2014
1004182;UHD;73;2015
1004182;UHD;119;2016
1004182;UHD;98;2017
1004182;UHD;108;2018
1004182;UHD;82;2019
1004182;UHD;99;2020
1004182;UHD;135;2021
1004182;UHD;25;2022
1004183;UHD;20;2014
1004183;UHD;83;2015
1004183;UHD;70;2016
1004183;UHD;54;2017
1004183;UHD;46;2018
1004183;UHD;75;2019
1004183;UHD;49;2020
1004183;UHD;76;2021
1004183;UHD;6;2022
1004186;UHD;15;2014
1004186;UHD;53;2015
1004186;UHD;54;2016
1004186;UHD;60;2017
1004186;UHD;31;2018
1004186;UHD;63;2019
1004186;UHD;162;2020
1004186;UHD;119;2021
1004186;UHD;33;2022
1004189;UHD;7;2014
1004189;UHD;45;2015
1004189;UHD;36;2016
1004189;UHD;56;2017
1004189;UHD;53;2018
1004189;UHD;53;2019
1004189;UHD;61;2020
1004189;UHD;54;2021
1004189;UHD;10;2022
1004192;UHD;28;2014
1004192;UHD;73;2015
1004192;UHD;35;2016
1004192;UHD;33;2017
1004192;UHD;52;2018
1004192;UHD;60;2019
1004192;UHD;60;2020
1004192;UHD;22;2021
1004192;UHD;11;2022
1004200;UHD;4;2014
1004200;UHD;4;2015
1004200;UHD;1;2016
1004200;UHD;2;2017
1004206;UHD;4;2014
1004207;UHD;7;2014
1004207;UHD;37;2015
1004207;UHD;67;2016
1004207;UHD;104;2017
1004207;UHD;66;2018
1004207;UHD;94;2019
1004207;UHD;54;2020
1004207;UHD;95;2021
1004207;UHD;22;2022
1004212;UHD;21;2014
1004212;UHD;70;2015
1004212;UHD;59;2016
1004212;UHD;142;2017
1004212;UHD;112;2018
1004212;UHD;117;2019
1004212;UHD;105;2020
1004212;UHD;105;2021
1004212;UHD;20;2022
1004215;UHD;23;2014
1004215;UHD;34;2015
1004215;UHD;39;2016
1004215;UHD;33;2017
1004222;UHD;20;2014
1004222;UHD;96;2015
1004222;UHD;119;2016
1004222;UHD;87;2017
1004222;UHD;172;2018
1004222;UHD;229;2019
1004222;UHD;194;2020
1004222;UHD;137;2021
1004222;UHD;40;2022
1004231;UHD;17;2014
1004231;UHD;61;2015
1004231;UHD;92;2016
1004231;UHD;81;2017
1004231;UHD;58;2018
1004231;UHD;81;2019
1004231;UHD;95;2020
1004231;UHD;96;2021
1004231;UHD;30;2022
1004232;UHD;1;2014
1004232;UHD;7;2015
1004232;UHD;8;2016
1004232;UHD;5;2017
1004232;UHD;7;2018
1004232;UHD;8;2019
1004232;UHD;3;2020
1004232;UHD;3;2021
1004232;UHD;1;2022
1004239;UHD;9;2014
1004239;UHD;18;2015
1004239;UHD;18;2016
1004239;UHD;17;2017
1004239;UHD;15;2018
1004239;UHD;11;2019
1004239;UHD;11;2020
1004239;UHD;7;2021
1004239;UHD;2;2022
1004249;UHD;0;2014
1004260;UHD;5;2014
1004260;UHD;18;2015
1004260;UHD;27;2016
1004260;UHD;12;2017
1004263;UHD;23;2014
1004263;UHD;77;2015
1004263;UHD;102;2016
1004263;UHD;46;2017
1004263;UHD;66;2018
1004263;UHD;63;2019
1004263;UHD;81;2020
1004263;UHD;49;2021
1004263;UHD;3;2022
1004266;UHD;0;2014
1004278;UHD;0;2014
1004278;UHD;2;2015
1004278;UHD;10;2016
1004278;UHD;5;2017
1004278;UHD;2;2018
1004278;UHD;2;2019
1004278;UHD;14;2020
1004278;UHD;1;2021
1004278;UHD;0;2022
1004291;UHD;5;2014
1004291;UHD;18;2015
1004291;UHD;12;2016
1004291;UHD;19;2017
1004291;UHD;7;2018
1004291;UHD;11;2019
1004291;UHD;11;2020
1004291;UHD;3;2021
1004291;UHD;1;2022
1004298;UHD;6;2014
1004298;UHD;29;2015
1004298;UHD;64;2016
1004298;UHD;70;2017
1004298;UHD;72;2018
1004298;UHD;115;2019
1004298;UHD;117;2020
1004298;UHD;145;2021
1004298;UHD;41;2022
1004302;UHD;1;2015
1004302;UHD;28;2016
1004302;UHD;56;2017
1004302;UHD;41;2018
1004302;UHD;69;2019
1004302;UHD;73;2020
1004302;UHD;24;2021
1004302;UHD;4;2022
1004303;UHD;7;2014
1004303;UHD;11;2015
1004303;UHD;8;2016
1004303;UHD;10;2017
1004303;UHD;18;2018
1004303;UHD;17;2019
1004303;UHD;11;2020
1004303;UHD;19;2021
1004303;UHD;10;2022
1004305;UHD;15;2015
1004305;UHD;44;2016
1004305;UHD;29;2017
1004305;UHD;42;2018
1004305;UHD;40;2019
1004305;UHD;45;2020
1004305;UHD;69;2021
1004305;UHD;27;2022
1004309;UHD;21;2014
1004309;UHD;47;2015
1004309;UHD;13;2016
1004312;UHD;43;2014
1004312;UHD;87;2015
1004312;UHD;105;2016
1004312;UHD;125;2017
1004312;UHD;115;2018
1004312;UHD;120;2019
1004312;UHD;117;2020
1004312;UHD;163;2021
1004312;UHD;31;2022
1004319;UHD;13;2014
1004319;UHD;36;2015
1004319;UHD;15;2016
1004319;UHD;12;2017
1004319;UHD;8;2018
1004319;UHD;4;2019
1004319;UHD;12;2020
1004319;UHD;6;2021
1004319;UHD;0;2022
1004320;UHD;16;2015
1004320;UHD;56;2016
1004320;UHD;57;2017
1004320;UHD;56;2018
1004320;UHD;55;2019
1004320;UHD;76;2020
1004320;UHD;50;2021
1004320;UHD;17;2022
1004325;UHD;71;2014
1004325;UHD;160;2015
1004325;UHD;214;2016
1004325;UHD;144;2017
1004325;UHD;91;2018
1004325;UHD;158;2019
1004325;UHD;111;2020
1004325;UHD;113;2021
1004325;UHD;25;2022
1004328;UHD;6;2014
1004328;UHD;27;2015
1004328;UHD;31;2016
1004328;UHD;25;2017
1004328;UHD;14;2018
1004328;UHD;17;2019
1004328;UHD;26;2020
1004328;UHD;28;2021
1004328;UHD;9;2022
1004329;UHD;11;2014
1004329;UHD;43;2015
1004329;UHD;39;2016
1004329;UHD;41;2017
1004329;UHD;54;2018
1004329;UHD;4;2019
1004331;UHD;59;2014
1004331;UHD;117;2015
1004331;UHD;116;2016
1004331;UHD;106;2017
1004331;UHD;92;2018
1004331;UHD;120;2019
1004331;UHD;102;2020
1004331;UHD;115;2021
1004331;UHD;36;2022
1004334;UHD;22;2014
1004334;UHD;59;2015
1004334;UHD;63;2016
1004334;UHD;43;2017
1004334;UHD;47;2018
1004334;UHD;45;2019
1004334;UHD;89;2020
1004334;UHD;83;2021
1004334;UHD;22;2022
1004337;UHD;14;2014
1004337;UHD;62;2015
1004337;UHD;71;2016
1004337;UHD;55;2017
1004337;UHD;61;2018
1004337;UHD;48;2019
1004337;UHD;71;2020
1004337;UHD;28;2021
1004337;UHD;6;2022
1004338;UHD;27;2014
1004338;UHD;73;2015
1004338;UHD;76;2016
1004338;UHD;76;2017
1004338;UHD;106;2018
1004338;UHD;61;2019
1004338;UHD;97;2020
1004338;UHD;101;2021
1004338;UHD;23;2022
1004354;UHD;12;2014
1004354;UHD;13;2015
1004354;UHD;21;2016
1004354;UHD;2;2017
1004354;UHD;4;2018
1004355;UHD;3;2014
1004355;UHD;22;2015
1004355;UHD;34;2016
1004355;UHD;31;2017
1004355;UHD;20;2018
1004355;UHD;21;2019
1004355;UHD;9;2020
1004355;UHD;8;2021
1004355;UHD;3;2022
1004358;UHD;47;2014
1004358;UHD;83;2015
1004358;UHD;116;2016
1004358;UHD;9;2017
1004358;UHD;24;2018
1004358;UHD;21;2019
1004358;UHD;27;2020
1004358;UHD;13;2021
1004358;UHD;2;2022
1004359;UHD;9;2014
1004359;UHD;37;2015
1004359;UHD;47;2016
1004365;UHD;2;2014
1004365;UHD;17;2015
1004365;UHD;15;2016
1004365;UHD;24;2017
1004365;UHD;13;2018
1004369;UHD;9;2014
1004369;UHD;29;2015
1004369;UHD;112;2016
1004369;UHD;113;2017
1004369;UHD;39;2018
1004369;UHD;19;2019
1004369;UHD;8;2020
1004369;UHD;4;2021
1004369;UHD;0;2022
1004375;UHD;0;2022
1004376;UHD;5;2014
1004376;UHD;14;2015
1004376;UHD;37;2016
1004376;UHD;26;2017
1004376;UHD;23;2018
1004376;UHD;28;2019
1004376;UHD;28;2020
1004376;UHD;27;2021
1004376;UHD;11;2022
1004379;UHD;4;2014
1004379;UHD;12;2015
1004379;UHD;21;2016
1004379;UHD;26;2017
1004379;UHD;24;2018
1004379;UHD;15;2019
1004379;UHD;16;2020
1004379;UHD;13;2021
1004379;UHD;0;2022
1004381;UHD;20;2014
1004381;UHD;43;2015
1004381;UHD;3;2016
1004381;UHD;0;2017
1004383;UHD;15;2014
1004383;UHD;89;2015
1004383;UHD;90;2016
1004383;UHD;85;2017
1004383;UHD;107;2018
1004383;UHD;119;2019
1004383;UHD;149;2020
1004383;UHD;108;2021
1004383;UHD;38;2022
1004384;UHD;1;2019
1004384;UHD;15;2020
1004384;UHD;7;2021
1004384;UHD;2;2022
1004390;UHD;12;2014
1004390;UHD;40;2015
1004390;UHD;71;2016
1004390;UHD;34;2017
1004390;UHD;34;2018
1004390;UHD;30;2019
1004390;UHD;36;2020
1004390;UHD;31;2021
1004390;UHD;10;2022
